Gene symbol,UniProt Accession,Mitochondrial protein annotation type,UniProtKB/Swiss-Prot Annotation,GO_CC Annotation,GO_BP Annotation,PubMed,MitoCarta3.0 Annotation
AARS2,Q5JTZ9,Localized,https://www.uniprot.org/uniprotkb/Q5JTZ9/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
AASS,Q9UDR5,Localized,https://www.uniprot.org/uniprotkb/Q9UDR5/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ABAT,P80404,Localized,https://www.uniprot.org/uniprotkb/P80404/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ABCB10,Q9NRK6,Localized,https://www.uniprot.org/uniprotkb/Q9NRK6/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
ABCB6,Q9NP58,Localized,https://www.uniprot.org/uniprotkb/Q9NP58/entry#subcellular_location ,mitochondrial envelope [GO:0005740]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
ABCB7,O75027,Localized,https://www.uniprot.org/uniprotkb/O75027/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
ABCD1,P33897,Localized,https://www.uniprot.org/uniprotkb/P33897/entry#subcellular_location ,mitochondrial membrane [GO:0031966],,,Yes
ABCD3,P28288,Localized,,mitochondrion [GO:0005739],,,Yes
ABCG1,P45844,Localized,,mitochondrion [GO:0005739],,,No
ABL1,P00519,Localized,https://www.uniprot.org/uniprotkb/P00519/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
ACAA2,P42765,Localized,https://www.uniprot.org/uniprotkb/P42765/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ACAD8,Q9UKU7,Localized,https://www.uniprot.org/uniprotkb/Q9UKU7/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
ACAD9,Q9H845,Localized,https://www.uniprot.org/uniprotkb/Q9H845/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
ACADM,P11310,Localized,https://www.uniprot.org/uniprotkb/P11310/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
ACADS,P16219,Localized,https://www.uniprot.org/uniprotkb/P16219/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ACADSB,P45954,Localized,https://www.uniprot.org/uniprotkb/P45954/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
